0	0	0
516	1	0
1032	3	0
1311	7	1
1545	9	1
1799	11	3
1990	17	5
2203	23	7
2430	31	10
2671	39	13
2910	51	15
3140	60	18
3359	75	21
3594	80	24
3830	94	26
4067	107	27
4095	144	49
21	502	16
390	347	21
994	313	22
1215	222	23
1503	146	24
1836	120	22
2022	143	22
2232	151	18
2457	160	16
2693	146	14
2928	126	16
3157	118	20
3379	113	26
3610	120	28
3845	140	28
4079	220	41
4095	343	67
22	695	33
265	659	43
609	622	44
1120	437	45
1460	430	47
1763	359	49
1934	359	46
2181	306	41
2541	289	35
2774	254	27
2994	202	28
3213	176	31
3430	168	32
3672	177	35
3900	186	40
4095	329	59
4095	546	87
23	1154	59
139	1105	64
418	1057	66
814	844	67
1220	714	71
1532	597	76
1846	576	71
2130	486	64
2447	418	54
2726	361	40
2932	277	40
3245	254	41
3480	244	43
3723	260	47
3958	276	52
4095	515	72
4095	753	108
21	1442	125
127	1371	104
285	1353	112
442	1211	120
1013	1090	113
1385	983	108
1703	883	104
1996	779	97
2307	693	91
2600	689	71
2871	616	67
3138	576	70
3390	520	75
3665	499	69
3947	546	74
4095	679	85
4095	964	131
20	1632	143
109	1636	144
236	1594	155
399	1567	157
696	1430	161
1235	1346	157
1590	1263	148
1896	1176	141
2208	1098	127
2515	1017	124
2788	955	106
3055	899	98
3315	796	108
3579	738	117
3862	815	122
4095	892	123
4095	1179	154
21	1818	161
101	1821	162
181	1834	174
346	1802	194
611	1718	198
999	1632	194
1448	1570	191
1785	1511	180
2108	1459	164
2437	1397	133
2725	1343	119
2993	1300	135
3262	1247	150
3526	1192	165
3804	1222	170
4071	1251	167
4095	1398	179
22	2009	179
47	2012	180
139	2022	194
232	2037	221
442	1983	229
794	1887	245
1314	1830	261
1660	1777	244
2003	1736	233
2348	1707	226
2653	1676	201
2930	1634	219
3207	1596	223
3471	1560	225
3747	1515	217
4021	1568	211
4095	1620	205
25	2233	239
45	2236	239
103	2246	250
172	2266	257
309	2250	290
714	2137	302
1120	2078	315
1546	2033	309
1915	2000	296
2255	1970	283
2579	1943	283
2864	1917	290
3146	1891	275
3421	1867	271
3703	1838	259
3973	1800	239
4095	1847	232
29	2471	306
43	2474	305
96	2483	297
136	2500	309
218	2517	332
532	2442	359
943	2378	369
1432	2332	362
1816	2299	356
2173	2270	341
2507	2234	352
2807	2205	347
3095	2180	327
3378	2152	317
3663	2127	301
3945	2098	266
4095	2100	254
36	2692	395
45	2695	393
89	2703	383
127	2718	362
175	2740	374
344	2729	396
688	2646	409
1288	2610	415
1696	2572	400
2074	2552	399
2436	2533	390
2749	2511	377
3039	2487	355
3323	2467	333
3608	2446	315
3892	2424	294
4095	2403	271
53	2919	461
71	2921	455
91	2927	464
119	2941	445
155	2960	440
279	2974	432
651	2912	448
1101	2871	459
1603	2846	444
1981	2814	434
2336	2794	425
2690	2785	408
2988	2768	379
3275	2747	350
3571	2734	346
3889	2690	335
4095	2646	352
98	3146	487
97	3147	485
99	3154	494
126	3166	469
172	3180	506
252	3202	474
454	3184	495
858	3132	489
1442	3100	480
1896	3080	470
2262	3058	460
2600	3041	408
2931	3032	391
3240	3011	375
3547	2982	394
3870	2952	375
4095	2909	373
150	3367	513
128	3368	516
137	3375	524
145	3387	513
188	3400	543
246	3420	484
395	3427	541
493	3380	552
1256	3348	543
1679	3334	533
2125	3315	511
2519	3299	494
2856	3279	493
3189	3258	456
3507	3235	420
3832	3204	416
4095	3172	377
154	3594	539
158	3595	541
175	3601	549
190	3612	556
215	3628	580
252	3647	626
335	3673	593
444	3677	594
733	3621	606
1499	3587	582
1993	3569	562
2408	3548	529
2779	3524	553
3124	3505	516
3456	3480	489
3621	3505	530
3946	3482	496
162	3821	606
164	3822	608
192	3827	614
206	3836	625
222	3851	634
257	3872	639
321	3898	645
417	3920	647
603	3902	641
1172	3855	632
1805	3825	614
2133	3830	574
2554	3813	612
2903	3794	590
3244	3780	571
3575	3759	564
3909	3734	583
199	4052	632
201	4053	632
209	4058	630
223	4066	644
244	4077	679
274	4095	691
307	4095	695
390	4095	724
473	4095	727
556	4095	704
1357	4095	686
